start_position,end_position,chou_fasman,emini,kolaskar_tongaonkar,parker,isoelectric_point,aromaticity,hydrophobicity,stability,target
161,165,1.016,0.703,1.018,2.22,5.81036377,0.103274559,-0.143828715,40.27329975,1
251,255,0.77,0.179,1.199,-3.86,6.210876465,0.06547619,-0.036904762,24.9985119,1
145,149,0.852,3.427,0.96,4.28,8.223937988,0.09178744,0.879227053,27.86333333,1
152,156,1.41,2.548,0.936,6.32,4.237976074,0.044776119,-0.521393035,30.76537313,1
85,89,1.214,1.908,0.937,4.64,6.867492676,0.103846154,-0.578846154,21.68461538,1
155,159,0.928,0.547,1.09,0.9,6.867492676,0.103846154,-0.578846154,21.68461538,1
22,26,0.888,0.633,0.974,2.66,6.867492676,0.103846154,-0.578846154,21.68461538,1
253,257,0.814,1.252,1.007,2,6.867492676,0.103846154,-0.578846154,21.68461538,1
218,222,1.016,1.042,1.055,4.62,6.867492676,0.103846154,-0.578846154,21.68461538,1
261,265,0.9,1.301,0.98,0.42,5.193908691,0.085492228,-0.001036269,37.10857513,1
42,46,1.2,1.832,0.97,3.28,7.51385498,0.04375,0.55125,28.636875,1
3,7,1.224,0.368,1.146,2.8,7.969909668,0.066666667,-0.753333333,137.0466667,1
5,9,1.176,0.828,1.057,3.1,7.969909668,0.066666667,-0.753333333,137.0466667,0
9,13,1.132,1.53,1.113,2.46,7.969909668,0.066666667,-0.753333333,137.0466667,0
2,6,1.102,0.437,1.211,1.82,6.962585449,0.076923077,-0.153846154,125.0769231,0
28,32,0.916,1.757,1.04,1.7,6.899475098,0.125827815,0.256291391,20.35827815,1
105,109,1.274,1.503,1.038,4.98,5.606750488,0.10845987,0.280694143,29.82995662,1
91,95,1.232,1.546,0.933,2.24,5.606750488,0.10845987,0.280694143,29.82995662,1
850,854,1.084,1.429,1.06,3.16,5.075622559,0.097694841,0.213282108,48.22427003,1
96,100,1.064,0.407,1.115,-1.4,5.639099121,0.08,-0.344,50.4521,0
43,47,1.092,1.308,0.974,4.74,4.201965332,0.051020408,-0.405102041,62.99897959,1
565,569,1.184,0.51,1.026,2.82,6.791320801,0.063508065,-0.825907258,74.15433468,1
682,686,1.014,0.345,1.083,-0.6,6.791320801,0.063508065,-0.825907258,74.15433468,1
486,490,1.21,1.484,1.016,4.58,8.581115723,0.09054326,-0.424144869,35.78092555,0
262,266,0.822,0.11,1.157,-4.18,4.988220215,0.060606061,-0.615488215,43.38855219,1
2,6,1.198,2.614,0.923,4.38,4.487365723,0.05509182,-0.691986644,68.5966611,1
154,158,1.042,1.919,0.984,4.26,10.84393311,0.025773196,-1.072680412,22.58917526,1
36,40,1.158,1.927,1.045,1.72,9.000427246,0.056768559,-0.17510917,49.03187773,1
68,72,0.92,3.008,0.88,5.22,9.940856934,0.050343249,-1.839816934,79.50961098,1
386,390,1.008,1.37,1.079,2.36,4.432800293,0.082914573,-0.13919598,25.15580402,1
131,135,0.918,1.106,1.03,3.86,7.95916748,0.052550232,-0.091344668,47.92534776,1
220,224,0.836,0.414,1.192,-2.8,7.95916748,0.052550232,-0.091344668,47.92534776,1
196,200,0.952,1.006,1.002,3.34,7.95916748,0.052550232,-0.091344668,47.92534776,1
53,57,0.97,1.168,0.957,5.56,5.707702637,0.08372093,-1.608837209,44.21813953,1
179,183,0.918,0.966,1.038,1.76,5.520935059,0.094972067,-0.53575419,34.75030726,1
195,199,1.006,0.764,1.03,0.38,8.447570801,0.098360656,0.106557377,53.25942623,1
256,260,0.798,1.368,0.974,1.54,9.226989746,0.058241758,-0.146593407,34.98583516,1
45,49,1.036,2.76,0.944,5.16,9.226989746,0.058241758,-0.146593407,34.98583516,1
80,84,1,1.022,1.038,-0.3,9.226989746,0.058241758,-0.146593407,34.98583516,1
133,137,1.26,2.465,0.88,5.04,9.226989746,0.058241758,-0.146593407,34.98583516,1
17,21,0.91,0.781,1.005,0.92,9.86920166,0.038095238,-0.92952381,53.02,1
88,92,0.83,0.23,1.026,-0.56,9.86920166,0.038095238,-0.92952381,53.02,1
21,25,1.264,2.06,0.909,5.68,9.86920166,0.038095238,-0.92952381,53.02,1
26,30,0.91,0.913,1.065,0.92,9.86920166,0.038095238,-0.92952381,53.02,1
306,310,1.196,0.832,0.957,0.16,5.488342285,0.070754717,-0.111320755,47.89056604,1
93,97,1.324,0.428,0.906,2.62,9.556091309,0.1171875,-0.519921875,39.36953125,1
252,256,1.14,2.111,0.961,3.96,8.715515137,0.0703125,0.07109375,49.10117187,0
271,275,0.908,1.712,0.95,4.42,8.729919434,0.056022409,-0.920728291,46.65238095,1
146,150,0.896,0.467,1.092,1.74,6.648498535,0.089783282,0.450154799,30.45049536,1
2,6,1.186,2.412,0.911,4.08,11.7131958,0.064285714,-0.622857143,79.02714286,1
25,29,1.282,1.651,0.939,4.54,11.7131958,0.064285714,-0.622857143,79.02714286,1
202,206,0.866,1.51,0.939,2.84,8.711486816,0.14801444,0.550180505,18.89064982,1
65,69,1.01,1.295,1.091,0.06,9.264221191,0.074074074,0.55308642,31.77296296,1
52,56,1.212,1.789,0.976,4.02,8.417297363,0.048192771,-0.514457831,48.71807229,1
48,52,1.208,1.174,0.938,4.88,5.074401855,0.051948052,-0.264935065,40.16558442,1
271,275,1.116,2.051,1.001,1.92,6.309387207,0.080229226,0.088825215,30.8865616,1
626,630,0.984,1.909,0.997,2.54,6.665466309,0.051072523,-0.302860061,56.00460674,1
475,479,1.13,1.232,0.925,2.7,4.957336426,0.103293413,-0.072754491,28.86947605,1
100,104,1.066,1.861,1.001,4.9,7.651794434,0.078880407,-0.124173028,57.98501272,1
588,592,0.922,0.968,1.077,-2,6.95880127,0.063069376,-0.269446391,56.65880869,0
52,56,0.976,0.482,1.025,-2.78,5.63861084,0.083018868,-0.013584906,37.45379245,1
